Year,Dimension,Trade value (In Millions)
1971,Goods,2031
1972,Goods,2152
1973,Goods,2569
1974,Goods,3238
1975,Goods,4192
1976,Goods,4649
1977,Goods,5728
1978,Goods,6299
1979,Goods,6960
1980,Goods,7926
1981,Goods,8485
1982,Goods,8704
1983,Goods,9108
1984,Goods,9449
1985,Goods,9878
1986,Goods,8905
1987,Goods,9745
1988,Goods,12089
1989,Goods,13970
1990,Goods,16613
1991,Goods,18145
1991,Services,4551
1992,Goods,17865
1992,Services,5022
1993,Goods,18537
1993,Services,4730
1994,Goods,22238
1994,Services,5264
1995,Goods,26331
1995,Services,6135
1996,Goods,31795
1996,Services,7344
1997,Goods,33470
1997,Services,7474
1998,Goods,35007
1998,Services,9429
1999,Goods,33219
1999,Services,13186
2000,Goods,36822
2000,Services,15709
2001,Goods,44511
2001,Services,16268
2002,Goods,43797
2002,Services,17140
2003,Goods,52695
2003,Services,20763
2004,Goods,63978
2004,Services,26868
2005,Goods,83752
2005,Services,43249
2006,Goods,103044
2006,Services,57659
2007,Goods,126414
2007,Services,73780
2008,Goods,163132
2008,Services,90342
2009,Goods,185295
2009,Services,105963
2010,Goods,178751
2010,Services,96045
2011,Goods,249816
2011,Services,124636
2012,Goods,305964
2012,Services,142325
2013,Goods,300401
2013,Services,145678
2014,Goods,314416
2014,Services,151813
2015,Goods,310352
2015,Services,158107
2016,Goods,262291
2016,Services,154311
2017,Goods,275852
2017,Services,164197
2018,Goods,303526
2018,Services,195089
2019,Goods,330078
2019,Services,208000
2020,Goods,313361
2020,Services,213191
2021,Goods,291808
2021,Services,206090
2022,Goods,422004
2022,Services,254527
2023,Goods,451070
2023,Services,325329
2024,Goods,437072
2024,Services,341064
